rep,ID,standEta_fi_simulated,standEta_Cl_simulated,standEta_V1_simulated,standEta_Q_simulated,standEta_V2_simulated,filter
8,5,-0.885378,-0.501395,-0.115336,-0.525363,-0.621636,0
9,5,-0.156088,-0.332734,0.0396431,-0.249341,0.925555,0
0,6,-0.862871,0.55823,2.04604,-1.36362,-0.944492,0
1,6,-0.0515294,0.571086,1.69363,2.52153,-0.0623615,0
2,6,0.261947,0.637653,1.77136,1.51513,0.557989,0
3,6,0.106537,0.571069,2.06572,1.09223,0.0685071,0
4,6,-0.39009,0.779745,2.01731,0.0103382,0.701337,0
5,6,0.214347,0.658899,0.799988,1.56408,-0.471749,0
6,6,-0.122076,0.731628,2.41005,-1.56996,1.02979,0
7,6,-0.48828,0.831351,2.32428,1.27571,-0.522757,0
8,6,0.519443,0.716268,2.43826,0.049074,-0.137047,0
9,6,0.0838808,0.5445,0.953493,1.52603,0.145156,0
0,7,-0.639304,0.148657,1.05525,0.238593,-2.34866,0
1,7,-0.149032,0.443602,0.785368,-0.60273,-1.94868,0
2,7,-0.868763,0.263272,0.132269,1.13339,-2.4501,0
3,7,-0.166558,0.48744,0.533922,0.904362,-2.70567,0
4,7,-0.311315,0.50101,0.618895,0.166384,-2.49789,0
5,7,-0.487532,0.497378,0.217224,-0.572895,-2.46839,0
6,7,-1.05617,0.288471,0.85726,0.54731,-2.05386,0
7,7,-0.317581,0.515096,0.425228,1.21587,-1.15385,0
8,7,-0.549654,0.519988,0.313208,2.16756,-2.51286,0
9,7,-1.04312,0.339503,0.389643,-0.439587,-2.48486,0
0,8,0.0315537,1.32936,-1.03169,0.756054,0.0433746,0
1,8,-0.730644,0.679414,-0.00891328,-1.18579,0.371483,0
2,8,-0.685273,0.891912,-0.360955,-1.32931,-0.0299479,0
3,8,-0.112613,1.16921,-0.0209976,-2.65336,0.372411,0
4,8,-0.833622,0.931048,-0.77902,-0.472343,0.429882,0
5,8,-0.446124,1.25182,-0.771372,-1.02391,-1.01657,0
6,8,-0.803586,1.24112,-0.656572,-0.113991,0.0328733,0
7,8,-1.22029,0.65017,-0.180244,-1.20979,0.720477,0
8,8,-0.180884,0.930907,-0.614364,-0.0954274,-0.813368,0
9,8,-0.773965,0.716812,-0.876243,-1.17821,0.282461,0
0,9,-0.317229,-0.38283,-0.83377,0.936218,0.877191,0
1,9,0.573474,-0.157666,-0.168019,-0.345709,1.04046,0
2,9,-0.223881,-0.31873,-1.36752,1.99634,0.247115,0
3,9,0.610941,-0.156317,-0.383098,0.730841,0.326596,0
4,9,0.313911,-0.0379827,-1.32715,0.667701,0.129429,0
5,9,-0.0360621,-0.302268,0.666031,0.437585,0.713447,0
6,9,0.520579,-0.208105,0.830426,-0.0712243,0.799294,0
7,9,0.208652,-0.0213971,0.00943673,1.02442,0.494176,0
8,9,0.200733,-0.15264,0.116815,-0.192052,0.611061,0
9,9,0.30862,-0.10471,0.0423269,0.504167,0.675039,0
0,10,0.159078,-1.63717,-1.45756,-0.699912,0.706994,0
1,10,0.116747,-1.41617,-0.910662,-0.562792,-0.105109,0
2,10,0.15645,-1.60733,-0.699836,-0.166577,-0.114006,0
3,10,0.0912214,-1.59249,-1.40272,-2.55364,-0.198688,0
4,10,-0.67609,-1.74772,-1.79805,-0.108775,-0.515994,0
5,10,-0.0757111,-1.5999,-0.851426,-1.49671,-0.653917,0
6,10,0.260329,-1.73589,-0.699896,-1.51653,0.444894,0
7,10,0.347464,-1.58093,-0.881085,-0.820664,-0.297254,0
8,10,0.0320447,-1.65619,-0.724086,-1.90531,0.68465,0
9,10,-0.0742102,-1.69763,-0.298337,-1.57625,0.399692,0
0,11,0.781546,0.62359,1.47127,-0.665859,-0.222625,0
1,11,0.85717,0.622661,0.787458,-1.47095,-0.3902,0
2,11,0.933503,0.829505,0.191838,0.779291,-0.329678,0
3,11,0.864624,0.739614,0.214794,0.699225,-0.325194,0
4,11,0.964467,0.708047,0.241554,2.18624,0.124892,0
5,11,1.22016,0.979248,0.927526,0.0857158,-0.438936,0
6,11,0.755709,0.520946,0.243328,0.869326,-0.650236,0
7,11,1.891,0.951242,0.974386,1.77954,-0.362192,0
8,11,0.860303,0.997459,0.382811,1.34645,-0.0257204,0
9,11,1.14294,0.904799,0.749686,-0.296448,0.317393,0
0,12,0.648764,-0.183064,0.181605,-0.206475,0.33268,0
1,12,0.784937,0.0847032,0.123367,0.835443,-0.412915,0
2,12,0.681159,0.14127,0.366171,-0.52957,-0.180964,0
3,12,1.05719,-0.303397,0.615647,1.07546,0.80334,0
4,12,1.14862,0.0151344,0.281118,2.23332,0.0340646,0
5,12,0.924978,-0.182257,-0.0938488,0.76044,0.261808,0
6,12,0.868356,0.0368607,-0.865,1.57875,-0.08813,0
7,12,0.901529,-0.0649978,0.358125,1.21224,-0.467921,0
8,12,0.671027,-0.20995,0.467882,1.02392,0.300612,0
9,12,0.981521,-0.0834864,0.790439,0.398087,-0.176842,0
0,13,1.35448,0.105536,0.212838,0.963587,0.857312,0
1,13,1.25992,0.0986866,-0.485724,1.11737,0.467014,0
2,13,0.970659,0.0080975,0.848093,0.245157,0.270277,0
3,13,1.36524,0.184727,0.547885,0.521999,0.876434,0
4,13,1.31343,0.0912571,0.296329,0.889453,0.765521,0
5,13,1.13307,-0.0336325,0.41761,-0.844185,0.688551,0
6,13,1.14493,0.0921268,-0.080686,0.59286,0.107092,0
7,13,1.16784,-0.0950468,0.608917,-0.59233,0.732791,0
8,13,1.2179,-0.0278119,0.379674,0.234219,1.65237,0
9,13,0.382584,-0.0544702,-0.247911,-0.0846065,0.738583,0
0,14,-0.836501,0.771098,-0.662768,0.777989,-0.827505,0
1,14,-0.281241,0.638544,0.19784,1.35367,-2.7553,0
2,14,-0.587655,0.401127,-0.0132677,-0.760194,-1.50438,0
3,14,-0.263904,0.473405,-0.48354,-0.126232,-1.43889,0
4,14,-0.494905,0.675617,-0.826025,-0.390977,-2.01692,0
5,14,0.0330768,0.472346,0.252234,-0.871236,-0.183488,0
6,14,-0.457149,0.395869,-0.667363,1.87733,-1.86931,0
7,14,-0.0997077,1.11579,-0.0284882,-2.04919,-1.83879,0
8,14,-0.421222,0.568613,-1.22583,0.923936,-0.970607,0
9,14,-0.689945,0.246134,-0.776205,-0.453283,-1.80414,0
